section,link,question,answer,2016-1-7-9-13,2016-1-7-9-15
Americas,/Contract/1160/Will-a-woman-succeed-Ban-Ki-Moon-as-Secretary-General-of-the-United-Nations,Will the next U.N. Secretary-General be a woman?,No,36,36
Americas,/Contract/1160/Will-a-woman-succeed-Ban-Ki-Moon-as-Secretary-General-of-the-United-Nations,Will the next U.N. Secretary-General be a woman?,Yes,64,64
Americas,/Contract/1783/Will-Dilma-Rousseff-remain-president-of-Brazil-through-2016,Rousseff in office through 2016?,No,26,26
Americas,/Contract/1783/Will-Dilma-Rousseff-remain-president-of-Brazil-through-2016,Rousseff in office through 2016?,Yes,74,74
Americas,/Contract/1845/Will-Venezuela-announce-a-recall-referendum-for-Maduro-in-2016,Recall referendum for Venezuela's Maduro?,No,15,15
Americas,/Contract/1845/Will-Venezuela-announce-a-recall-referendum-for-Maduro-in-2016,Recall referendum for Venezuela's Maduro?,Yes,85,85
Asia/Pacific,/Contract/1781/Will-North-Korea-test-a-hydrogen-bomb-before-the-end-of-2016,North Korea H-bomb test in 2016?,No,77,77
Asia/Pacific,/Contract/1781/Will-North-Korea-test-a-hydrogen-bomb-before-the-end-of-2016,North Korea H-bomb test in 2016?,Yes,23,23
Europe,/Contract/1784/Will-Vladimir-Putin-remain-president-of-the-Russian-Federation-through-2016,Putin in power through 2016?,No,7,7
Europe,/Contract/1784/Will-Vladimir-Putin-remain-president-of-the-Russian-Federation-through-2016,Putin in power through 2016?,Yes,93,93
Europe,/Contract/1847/Will-Angela-Merkel-remain-German-chancellor-through-2016,Will Merkel last through 2016?,No,19,19
Europe,/Contract/1847/Will-Angela-Merkel-remain-German-chancellor-through-2016,Will Merkel last through 2016?,Yes,81,81
Europe,/Contract/784/Will-the-UK-vote-to-leave-the-EU-by-year-end-2016,Brexit by 2017?,No,71,71
Europe,/Contract/784/Will-the-UK-vote-to-leave-the-EU-by-year-end-2016,Brexit by 2017?,Yes,29,29
Europe,/Market/1663/Who-will-be-chosen-prime-minister-of-Spain-in-the-next-general-election,Next Spanish PM?,Rajoy,48,48
Europe,/Market/1663/Who-will-be-chosen-prime-minister-of-Spain-in-the-next-general-election,Next Spanish PM?,Unlisted,32,32
Mideast & Africa,/Contract/1543/Will-Bashar-al-Assad-remain-president-of-Syria-through-2016,Assad in power through 2016?,No,30,30
Mideast & Africa,/Contract/1543/Will-Bashar-al-Assad-remain-president-of-Syria-through-2016,Assad in power through 2016?,Yes,70,70
Mideast & Africa,/Contract/1795/Will-Turkey-invoke-NATO's-Article-4-by-March-31,Will Turkey invoke Article 4 by March 31?,No,92,92
Mideast & Africa,/Contract/1795/Will-Turkey-invoke-NATO's-Article-4-by-March-31,Will Turkey invoke Article 4 by March 31?,Yes,8,8
Mideast & Africa,/Contract/1846/Will-OPEC-announce-an-oil-production-quota-of-less-than-315-MBPD-by-June-30,OPEC quota reduction by June?,No,63,63
Mideast & Africa,/Contract/1846/Will-OPEC-announce-an-oil-production-quota-of-less-than-315-MBPD-by-June-30,OPEC quota reduction by June?,Yes,37,37
