section,link,question,answer,2016-1-7-9-13,2016-1-7-9-15
Congress,/Contract/481/Will-Republicans-control-both-Congress-and-the-White-House-after-2016,Undivided government under the Republicans after 2016?,No,75,75
Congress,/Contract/481/Will-Republicans-control-both-Congress-and-the-White-House-after-2016,Undivided government under the Republicans after 2016?,Yes,25,25
Congress,/Contract/482/Will-Democrats-control-both-Congress-and-the-White-House-after-2016,Undivided government under the Democrats after 2016?,No,89,89
Congress,/Contract/482/Will-Democrats-control-both-Congress-and-the-White-House-after-2016,Undivided government under the Democrats after 2016?,Yes,11,11
Congress,/Contract/571/Will-Republicans-maintain-a-Senate-majority-after-the-next-election,Will the GOP keep the Senate?,No,51,51
Congress,/Contract/571/Will-Republicans-maintain-a-Senate-majority-after-the-next-election,Will the GOP keep the Senate?,Yes,49,49
Congress,/Market/1306/Which-party-will-win-Barbara-Boxer's-Senate-seat-in-California-in-2016,Which party will win Boxer's seat?,Democratic,91,91
Congress,/Market/1306/Which-party-will-win-Barbara-Boxer's-Senate-seat-in-California-in-2016,Which party will win Boxer's seat?,Republican,6,6
Congress,/Market/1313/Which-party-will-win-the-US-senate-race-in-Nevada-in-2016,Which party will win the NV senate race?,Democratic,58,58
Congress,/Market/1313/Which-party-will-win-the-US-senate-race-in-Nevada-in-2016,Which party will win the NV senate race?,Republican,44,44
Congress,/Market/1314/Which-party-will-win-the-US-Senate-race-in-Colorado-in-2016,Which party will win the CO Senate race?,Democratic,75,75
Congress,/Market/1314/Which-party-will-win-the-US-Senate-race-in-Colorado-in-2016,Which party will win the CO Senate race?,Republican,32,32
Congress,/Market/1315/Which-party-will-win-the-US-Senate-race-in-New-Hampshire-in-2016,Which party will win the NH Senate race?,Democratic,57,57
Congress,/Market/1315/Which-party-will-win-the-US-Senate-race-in-New-Hampshire-in-2016,Which party will win the NH Senate race?,Republican,40,40
Congress,/Market/1316/Which-party-will-win-the-US-Senate-race-in-Pennsylvania-in-2016,Which party will win the PA Senate race?,Democratic,54,54
Congress,/Market/1316/Which-party-will-win-the-US-Senate-race-in-Pennsylvania-in-2016,Which party will win the PA Senate race?,Republican,51,51
Congress,/Market/1317/Which-party-will-win-the-US-Senate-race-in-Illinois-in-2016,Which party will win the IL Senate race?,Democratic,79,79
Congress,/Market/1317/Which-party-will-win-the-US-Senate-race-in-Illinois-in-2016,Which party will win the IL Senate race?,Republican,24,24
Congress,/Market/1318/Which-party-will-win-the-US-Senate-race-in-Wisconsin-in-2016,Which party will win the WI Senate race?,Democratic,81,81
Congress,/Market/1318/Which-party-will-win-the-US-Senate-race-in-Wisconsin-in-2016,Which party will win the WI Senate race?,Republican,19,19
Congress,/Market/1319/Which-party-will-win-the-US-Senate-race-in-North-Carolina-in-2016,Which party will win the NC Senate race?,Democratic,30,30
Congress,/Market/1319/Which-party-will-win-the-US-Senate-race-in-North-Carolina-in-2016,Which party will win the NC Senate race?,Republican,71,71
