section,link,question,answer,2016-1-14-12-58
Americas,/Contract/1160/Will-a-woman-succeed-Ban-Ki-Moon-as-Secretary-General-of-the-United-Nations,Will the next U.N. Secretary-General be a woman?,Yes,63
Americas,/Contract/1160/Will-a-woman-succeed-Ban-Ki-Moon-as-Secretary-General-of-the-United-Nations,Will the next U.N. Secretary-General be a woman?,No,37
Americas,/Contract/1783/Will-Dilma-Rousseff-remain-president-of-Brazil-through-2016,Rousseff in office through 2016?,Yes,77
Americas,/Contract/1783/Will-Dilma-Rousseff-remain-president-of-Brazil-through-2016,Rousseff in office through 2016?,No,23
Americas,/Contract/1845/Will-Venezuela-announce-a-recall-referendum-for-Maduro-in-2016,Recall referendum for Venezuela's Maduro?,Yes,85
Americas,/Contract/1845/Will-Venezuela-announce-a-recall-referendum-for-Maduro-in-2016,Recall referendum for Venezuela's Maduro?,No,15
Asia/Pacific,/Contract/1781/Will-North-Korea-test-a-hydrogen-bomb-before-the-end-of-2016,North Korea H-bomb test in 2016?,Yes,14
Asia/Pacific,/Contract/1781/Will-North-Korea-test-a-hydrogen-bomb-before-the-end-of-2016,North Korea H-bomb test in 2016?,No,86
Europe,/Market/1663/Who-will-be-chosen-prime-minister-of-Spain-in-the-next-general-election,Next Spanish PM?,Unlisted,58
Europe,/Market/1663/Who-will-be-chosen-prime-minister-of-Spain-in-the-next-general-election,Next Spanish PM?,Snchez,33
Europe,/Contract/784/Will-the-UK-vote-to-leave-the-EU-by-year-end-2016,Brexit by 2017?,Yes,26
Europe,/Contract/784/Will-the-UK-vote-to-leave-the-EU-by-year-end-2016,Brexit by 2017?,No,74
Europe,/Contract/1847/Will-Angela-Merkel-remain-German-chancellor-through-2016,Will Merkel last through 2016?,Yes,74
Europe,/Contract/1847/Will-Angela-Merkel-remain-German-chancellor-through-2016,Will Merkel last through 2016?,No,26
Europe,/Contract/1784/Will-Vladimir-Putin-remain-president-of-the-Russian-Federation-through-2016,Putin in power through 2016?,Yes,92
Europe,/Contract/1784/Will-Vladimir-Putin-remain-president-of-the-Russian-Federation-through-2016,Putin in power through 2016?,No,8
Mideast & Africa,/Contract/1543/Will-Bashar-al-Assad-remain-president-of-Syria-through-2016,Assad in power through 2016?,Yes,66
Mideast & Africa,/Contract/1543/Will-Bashar-al-Assad-remain-president-of-Syria-through-2016,Assad in power through 2016?,No,34
Mideast & Africa,/Contract/1846/Will-OPEC-announce-an-oil-production-quota-of-less-than-315-MBPD-by-June-30,OPEC quota reduction by June?,Yes,37
Mideast & Africa,/Contract/1846/Will-OPEC-announce-an-oil-production-quota-of-less-than-315-MBPD-by-June-30,OPEC quota reduction by June?,No,63
Mideast & Africa,/Contract/1795/Will-Turkey-invoke-NATO's-Article-4-by-March-31,Will Turkey invoke Article 4 by March 31?,Yes,12
Mideast & Africa,/Contract/1795/Will-Turkey-invoke-NATO's-Article-4-by-March-31,Will Turkey invoke Article 4 by March 31?,No,88
