section,link,question,answer,2016-1-6-9-54
Congress,/Contract/1527/Will-Congress-ratify-the-Trans-Pacific-Partnership-by-March-31%2c-2016,TPP ratified by Congress by March 31?,Yes,10
Congress,/Contract/1527/Will-Congress-ratify-the-Trans-Pacific-Partnership-by-March-31%2c-2016,TPP ratified by Congress by March 31?,No,90
Congress,/Contract/1782/Will-a-federal-minimum-wage-increase-go-into-effect-in-2016,Minimum wage hike in 2016?,Yes,12
Congress,/Contract/1782/Will-a-federal-minimum-wage-increase-go-into-effect-in-2016,Minimum wage hike in 2016?,No,88
Congress,/Contract/1793/Will-Mitch-McConnell-announce-his-resignation-as-Senate-majority-leader-in-2016,Will McConnell resign leadership in 2016?,Yes,23
Congress,/Contract/1793/Will-Mitch-McConnell-announce-his-resignation-as-Senate-majority-leader-in-2016,Will McConnell resign leadership in 2016?,No,77
Congress,/Contract/1794/Will-legislation-requiring-additional-vetting-of-Syrian-refugees-be-enacted-in-2016,Syrian refugee vetting in 2016?,Yes,29
Congress,/Contract/1794/Will-legislation-requiring-additional-vetting-of-Syrian-refugees-be-enacted-in-2016,Syrian refugee vetting in 2016?,No,71
Congress,/Contract/1791/Will-legislation-strip-federal-funds-from-sanctuary-cities-in-2016,Will sanctuary cities lose funding in 2016?,Yes,6
Congress,/Contract/1791/Will-legislation-strip-federal-funds-from-sanctuary-cities-in-2016,Will sanctuary cities lose funding in 2016?,No,94
Other Events,/Contract/1576/Will-Rahm-Emanuel-resign-as-Chicago-mayor-by-March-31,Will Rahm resign by 3/31?,Yes,15
Other Events,/Contract/1576/Will-Rahm-Emanuel-resign-as-Chicago-mayor-by-March-31,Will Rahm resign by 3/31?,No,85
Other Events,/Market/1760/Which-woman-will-be-selected-for-the-new-%2410-bill-in-2016,Which woman will be picked for the $10 bill in 2016?,Tubman,41
Other Events,/Market/1760/Which-woman-will-be-selected-for-the-new-%2410-bill-in-2016,Which woman will be picked for the $10 bill in 2016?,Keller,16
Other Events,/Contract/1758/Will-people-on-the-no-fly-list-be-banned-from-buying-guns,No guns for no-fly list?,Yes,4
Other Events,/Contract/1758/Will-people-on-the-no-fly-list-be-banned-from-buying-guns,No guns for no-fly list?,No,96
Other Events,/Contract/1834/Will-Right-Direction-poll-at-240-on-January-8,Direction of country at 24.0+ on 1/8?,Yes,90
Other Events,/Contract/1834/Will-Right-Direction-poll-at-240-on-January-8,Direction of country at 24.0+ on 1/8?,No,10
Other Events,/Contract/1564/Will-a-US-State-Dept-worldwide-travel-alert-be-in-effect-on-February-25%2c-2016,Worldwide travel alert extended?,Yes,39
Other Events,/Contract/1564/Will-a-US-State-Dept-worldwide-travel-alert-be-in-effect-on-February-25%2c-2016,Worldwide travel alert extended?,No,61
Other Events,/Contract/943/Will-the-Labor-Department-pass-a-final-rule-restricting-overtime-exemptions,Will Labor adopt new overtime rules?,Yes,7
