section,link,question,answer,2016-1-14-12-58
Congress,/Contract/571/Will-Republicans-maintain-a-Senate-majority-after-the-next-election,Will the GOP keep the Senate?,Yes,50
Congress,/Contract/571/Will-Republicans-maintain-a-Senate-majority-after-the-next-election,Will the GOP keep the Senate?,No,50
Congress,/Contract/481/Will-Republicans-control-both-Congress-and-the-White-House-after-2016,Undivided government under the Republicans after 2016?,Yes,25
Congress,/Contract/481/Will-Republicans-control-both-Congress-and-the-White-House-after-2016,Undivided government under the Republicans after 2016?,No,75
Congress,/Contract/482/Will-Democrats-control-both-Congress-and-the-White-House-after-2016,Undivided government under the Democrats after 2016?,Yes,10
Congress,/Contract/482/Will-Democrats-control-both-Congress-and-the-White-House-after-2016,Undivided government under the Democrats after 2016?,No,90
Congress,/Market/1320/Which-party-will-win-the-US-Senate-race-in-Florida-in-2016,Which party will win the FL Senate race?,Republican,54
Congress,/Market/1320/Which-party-will-win-the-US-Senate-race-in-Florida-in-2016,Which party will win the FL Senate race?,Democratic,47
Congress,/Market/1317/Which-party-will-win-the-US-Senate-race-in-Illinois-in-2016,Which party will win the IL Senate race?,Democratic,71
Congress,/Market/1317/Which-party-will-win-the-US-Senate-race-in-Illinois-in-2016,Which party will win the IL Senate race?,Republican,28
Congress,/Market/1306/Which-party-will-win-Barbara-Boxer's-Senate-seat-in-California-in-2016,Which party will win Boxer's seat?,Democratic,94
Congress,/Market/1306/Which-party-will-win-Barbara-Boxer's-Senate-seat-in-California-in-2016,Which party will win Boxer's seat?,Republican,6
Congress,/Market/1316/Which-party-will-win-the-US-Senate-race-in-Pennsylvania-in-2016,Which party will win the PA Senate race?,Republican,57
Congress,/Market/1316/Which-party-will-win-the-US-Senate-race-in-Pennsylvania-in-2016,Which party will win the PA Senate race?,Democratic,44
Congress,/Market/1314/Which-party-will-win-the-US-Senate-race-in-Colorado-in-2016,Which party will win the CO Senate race?,Democratic,75
Congress,/Market/1314/Which-party-will-win-the-US-Senate-race-in-Colorado-in-2016,Which party will win the CO Senate race?,Republican,32
Congress,/Market/1319/Which-party-will-win-the-US-Senate-race-in-North-Carolina-in-2016,Which party will win the NC Senate race?,Republican,83
Congress,/Market/1319/Which-party-will-win-the-US-Senate-race-in-North-Carolina-in-2016,Which party will win the NC Senate race?,Democratic,30
Congress,/Market/1318/Which-party-will-win-the-US-Senate-race-in-Wisconsin-in-2016,Which party will win the WI Senate race?,Democratic,81
Congress,/Market/1318/Which-party-will-win-the-US-Senate-race-in-Wisconsin-in-2016,Which party will win the WI Senate race?,Republican,23
Congress,/Market/1315/Which-party-will-win-the-US-Senate-race-in-New-Hampshire-in-2016,Which party will win the NH Senate race?,Democratic,60
Congress,/Market/1315/Which-party-will-win-the-US-Senate-race-in-New-Hampshire-in-2016,Which party will win the NH Senate race?,Republican,31
Congress,/Market/1321/Which-party-will-win-the-US-Senate-race-in-Ohio-in-2016,Which party will win the OH Senate race?,Republican,59
Congress,/Market/1321/Which-party-will-win-the-US-Senate-race-in-Ohio-in-2016,Which party will win the OH Senate race?,Democratic,44
Congress,/Market/1313/Which-party-will-win-the-US-senate-race-in-Nevada-in-2016,Which party will win the NV senate race?,Republican,59
Congress,/Market/1313/Which-party-will-win-the-US-senate-race-in-Nevada-in-2016,Which party will win the NV senate race?,Democratic,43
Debates,/Contract/1859/Will-Rand-Paul-participate-in-the-first-tier-Fox-Business-debate,Will Paul make the big FBN debate?,Yes,3
Debates,/Contract/1859/Will-Rand-Paul-participate-in-the-first-tier-Fox-Business-debate,Will Paul make the big FBN debate?,No,97
Debates,/Market/1812/Which-candidate-will-get-the-most-speaking-time-at-the-first-tier-Fox-Business-debate,Most speaking time at FBN debate?,Cruz,50
Debates,/Market/1812/Which-candidate-will-get-the-most-speaking-time-at-the-first-tier-Fox-Business-debate,Most speaking time at FBN debate?,Trump,36
Debates,/Contract/1861/Will-Mike-Huckabee-participate-in-the-first-tier-Fox-Business-debate,Will Huckabee make the big FBN debate?,Yes,1
Debates,/Contract/1861/Will-Mike-Huckabee-participate-in-the-first-tier-Fox-Business-debate,Will Huckabee make the big FBN debate?,No,99
Debates,/Contract/1860/Will-Jeb-Bush-participate-in-the-first-tier-Fox-Business-debate,Will Bush make the big FBN debate?,Yes,99
Debates,/Contract/1860/Will-Jeb-Bush-participate-in-the-first-tier-Fox-Business-debate,Will Bush make the big FBN debate?,No,1
Debates,/Contract/1918/Will-a-Fox-Business-debate-moderator-or-candidate-use-the-phrase-natural-born,"Will FBN debate include ""natural born"" citizenship?",Yes,85
Debates,/Contract/1918/Will-a-Fox-Business-debate-moderator-or-candidate-use-the-phrase-natural-born,"Will FBN debate include ""natural born"" citizenship?",No,15
Debates,/Market/1810/Which-candidate-will-see-the-best-polling-bump-after-the-first-tier-FBN-debate,Biggest bump after FBN debate?,Trump,29
Debates,/Market/1810/Which-candidate-will-see-the-best-polling-bump-after-the-first-tier-FBN-debate,Biggest bump after FBN debate?,Rubio,28
Debates,/Market/1815/Which-candidate-will-get-the-most-speaking-time-at-the-NBC-debate,Most speaking time at NBC debate?,Clinton,77
Debates,/Market/1815/Which-candidate-will-get-the-most-speaking-time-at-the-NBC-debate,Most speaking time at NBC debate?,Sanders,30
Debates,/Market/1811/Which-candidate-will-see-the-worst-polling-decline-after-the-first-tier-FBN-debate,Biggest decline after FBN debate?,Cruz,33
Debates,/Market/1811/Which-candidate-will-see-the-worst-polling-decline-after-the-first-tier-FBN-debate,Biggest decline after FBN debate?,Carson,33
Debates,/Market/1813/Which-candidate-will-see-the-best-polling-bump-after-the-NBC-debate,Biggest bump after NBC debate?,Sanders,54
Debates,/Market/1813/Which-candidate-will-see-the-best-polling-bump-after-the-NBC-debate,Biggest bump after NBC debate?,Clinton,39
Debates,/Market/1814/Which-candidate-will-see-the-worst-polling-decline-after-the-NBC-debate,Biggest decline after NBC debate?,Clinton,66
Debates,/Market/1814/Which-candidate-will-see-the-worst-polling-decline-after-the-NBC-debate,Biggest decline after NBC debate?,Sanders,40
Polling,/Contract/1830/Will-primary-polling-give-Trump-at-least-35-on-January-31,Trump at 35%+ on Jan 31?,Yes,59
Polling,/Contract/1830/Will-primary-polling-give-Trump-at-least-35-on-January-31,Trump at 35%+ on Jan 31?,No,41
Polling,/Contract/1831/Will-primary-polling-give-Cruz-at-least-19-on-January-31,Cruz at 19%+ on Jan 31?,Yes,51
Polling,/Contract/1831/Will-primary-polling-give-Cruz-at-least-19-on-January-31,Cruz at 19%+ on Jan 31?,No,49
Polling,/Contract/1828/Will-primary-polling-give-Clinton-at-least-55-on-January-31,Clinton at 55%+ on Jan 31?,Yes,11
Polling,/Contract/1828/Will-primary-polling-give-Clinton-at-least-55-on-January-31,Clinton at 55%+ on Jan 31?,No,89
Polling,/Contract/1832/Will-primary-polling-give-Rubio-at-least-12-on-January-31,Rubio at 12%+ on Jan 31?,Yes,48
Polling,/Contract/1832/Will-primary-polling-give-Rubio-at-least-12-on-January-31,Rubio at 12%+ on Jan 31?,No,52
Polling,/Contract/1829/Will-primary-polling-give-Sanders-at-least-30-on-January-31,Sanders at 30%+ on Jan 31?,Yes,97
Polling,/Contract/1829/Will-primary-polling-give-Sanders-at-least-30-on-January-31,Sanders at 30%+ on Jan 31?,No,3
Polling,/Contract/1842/Will-primary-polling-give-Christie-at-least-5-on-January-31,Christie at 5%+ on Jan 31?,Yes,21
Polling,/Contract/1842/Will-primary-polling-give-Christie-at-least-5-on-January-31,Christie at 5%+ on Jan 31?,No,79
Polling,/Contract/1843/Will-primary-polling-give-Bush-at-least-4-on-January-31,Bush at 4%+ on Jan 31?,Yes,76
Polling,/Contract/1843/Will-primary-polling-give-Bush-at-least-4-on-January-31,Bush at 4%+ on Jan 31?,No,24
Polling,/Contract/1844/Will-primary-polling-give-O'Malley-at-least-5-on-January-31,O'Malley at 5%+ on Jan 31?,Yes,12
Polling,/Contract/1844/Will-primary-polling-give-O'Malley-at-least-5-on-January-31,O'Malley at 5%+ on Jan 31?,No,88
Polling,/Contract/1865/Will-congressional-job-approval-be-at-least-135-on-January-15,Congress approval 13.5+ on 1/15?,Yes,30
Polling,/Contract/1865/Will-congressional-job-approval-be-at-least-135-on-January-15,Congress approval 13.5+ on 1/15?,No,70
President,/Market/1233/Who-will-win-the-2016-Republican-presidential-nomination,Who will be the 2016 Republican nominee? ,Trump,38
President,/Market/1233/Who-will-win-the-2016-Republican-presidential-nomination,Who will be the 2016 Republican nominee? ,Rubio,29
President,/Market/1234/Who-will-win-the-2016-US-presidential-election,Who will win the 2016 U.S. presidential election?,Clinton,43
President,/Market/1234/Who-will-win-the-2016-US-presidential-election,Who will win the 2016 U.S. presidential election?,Sanders,29
President,/Market/1232/Who-will-win-the-2016-Democratic-presidential-nomination,Who will be the 2016 Democratic nominee?,Clinton,66
President,/Market/1232/Who-will-win-the-2016-Democratic-presidential-nomination,Who will be the 2016 Democratic nominee?,Sanders,37
President,/Market/1327/Who-will-win-the-2016-Iowa-Republican-caucuses,Who will win the Iowa GOP caucuses?,Cruz,54
President,/Market/1327/Who-will-win-the-2016-Iowa-Republican-caucuses,Who will win the Iowa GOP caucuses?,Trump,43
President,/Market/1329/Who-will-win-the-2016-New-Hampshire-Republican-primary,Who will win the NH GOP primary?,Trump,68
President,/Market/1329/Who-will-win-the-2016-New-Hampshire-Republican-primary,Who will win the NH GOP primary?,Rubio,15
President,/Market/1296/Which-party-will-win-the-2016-US-Presidential-election,Which party will win the White House?,Democratic,65
President,/Market/1296/Which-party-will-win-the-2016-US-Presidential-election,Which party will win the White House?,Republican,37
President,/Market/1448/Who-will-win-the-2016-Iowa-Democratic-caucuses,Who will win the Iowa Democratic caucuses?,Sanders,53
President,/Market/1448/Who-will-win-the-2016-Iowa-Democratic-caucuses,Who will win the Iowa Democratic caucuses?,Clinton,47
President,/Market/1460/Who-will-win-the-2016-New-Hampshire-Democratic-primary,Who will win the NH Democratic primary?,Sanders,74
President,/Market/1460/Who-will-win-the-2016-New-Hampshire-Democratic-primary,Who will win the NH Democratic primary?,Clinton,26
President,/Market/1673/Who-will-win-the-2016-South-Carolina-Republican-primary,SC GOP primary winner?,Trump,62
President,/Market/1673/Who-will-win-the-2016-South-Carolina-Republican-primary,SC GOP primary winner?,Cruz,28
President,/Market/1529/Who-will-win-the-2016-Republican-vice-presidential-nomination,Who will be the 2016 Republican VP nominee?,Haley,18
President,/Market/1529/Who-will-win-the-2016-Republican-vice-presidential-nomination,Who will be the 2016 Republican VP nominee?,Rubio,13
President,/Market/1530/Who-will-win-the-2016-Democratic-vice-presidential-nomination,Who will be the 2016 Democratic VP nominee?,Warren,21
President,/Market/1530/Who-will-win-the-2016-Democratic-vice-presidential-nomination,Who will be the 2016 Democratic VP nominee?,Julian Castro,21
President,/Market/1671/Who-will-place-2nd-in-the-2016-Iowa-Republican-caucuses,Iowa GOP caucuses runner-up?,Trump,44
President,/Market/1671/Who-will-place-2nd-in-the-2016-Iowa-Republican-caucuses,Iowa GOP caucuses runner-up?,Cruz,39
President,/Market/1672/Who-will-place-2nd-in-the-2016-New-Hampshire-Republican-primary,NH GOP primary runner-up?,Rubio,30
President,/Market/1672/Who-will-place-2nd-in-the-2016-New-Hampshire-Republican-primary,NH GOP primary runner-up?,Kasich,19
President,/Contract/1526/Will-Donald-Trump-win-any-Republican-primaries-or-caucuses,Will Trump win any primaries or caucuses?,Yes,86
President,/Contract/1526/Will-Donald-Trump-win-any-Republican-primaries-or-caucuses,Will Trump win any primaries or caucuses?,No,14
President,/Market/1675/Who-will-win-the-2016-Nevada-Republican-caucuses,NV GOP caucus winner?,Trump,45
President,/Market/1675/Who-will-win-the-2016-Nevada-Republican-caucuses,NV GOP caucus winner?,Cruz,36
President,/Contract/1475/Will-Bush-drop-out-before-the-Iowa-caucuses,Bush out before Iowa?,Yes,6
President,/Contract/1475/Will-Bush-drop-out-before-the-Iowa-caucuses,Bush out before Iowa?,No,94
President,/Market/1796/Who-will-be-the-next-Republican-candidate-to-drop-out,Next Republican dropout?,Santorum,54
